Algorithm,Method, Number of Batches, Code Base,Time Duration
zlib,compression,5385,go,3.022597383s
Brotli,compression,5385,go,8.2058988s
zlib,decompression,5385,node,11880ms
Brotli,decompression,5385,node,1586.8ms
Brotli(worst case),decompression,100,node,166.8ms
Brotli(best case),decompression,100,node,32.2ms
Zlib(worst case),decompression,100,node,42.4ms
Zlib(best case),decompression,100,node,1.6ms
